stationid,longitude,latitude,eveningendpct,eveningstartpct,morningendpct,morningstartpct
1,-0.10997,51.529163,0.00037124,0.000348051,0.000179071,0.000602486
2,-0.197574,51.499606,0.000705119,0.000846616,0.00063319,0.000413538
3,-0.084605,51.521283,0.001032343,0.002116002,0.00225299,0.000871093
4,-0.120973,51.530059,0.000962132,0.000242841,0.000302961,0.000806894
5,-0.156876,51.49313,0.001159453,0.001609278,0.001359566,0.000576506
6,-0.144228,51.518117,0.000601842,0.001207549,0.001092892,0.000336027
7,-0.168074,51.5343,0.000506724,0.000208272,4.16544E-05,0.000549452
8,-0.170134,51.528341,9.36151E-05,7.96587E-05,3.371E-05,0.00010886
9,-0.09644,51.507385,0.000496847,0.001066482,0.001120805,0.000307255
10,-0.092754,51.505974,0.000392496,0.000625031,0.000532275,0.000211278
11,-0.122502,51.523951,0.000787569,0.000947961,0.000691163,0.000462064
12,-0.130431,51.52168,0.001008295,0.002921393,0.002202961,0.000397005
13,-0.136039,51.519914,0.000412035,0.001116081,0.001066053,0.000274404
14,-0.123616,51.529943,0.013417452,0.001684643,0.001232671,0.013357977
15,-0.127854,51.517727,0.000570279,0.001327789,0.001097831,0.000287502
16,-0.125979,51.526357,0.001005074,0.000911459,0.000590892,0.000807108
17,-0.109006,51.521661,0.000880326,0.002190293,0.002056527,0.000571138
18,-0.122219,51.51477,0.001302882,0.002110205,0.001534558,0.000439089
19,-0.131161,51.52505,0.000911674,0.000793581,0.000518963,0.000719291
21,-0.138846,51.530078,0.000270324,0.000161465,5.75432E-05,0.000247135
22,-0.114079,51.522264,0.000584665,0.001199605,0.001233959,0.000482247
23,-0.119123,51.519435,0.000273975,0.000886123,0.000918545,0.000301673
24,-0.124678,51.51908,0.000628896,0.001772031,0.001537993,0.000385411
25,-0.13225,51.528833,0.001798012,0.000638773,0.000392282,0.00183301
26,-0.118295,51.52728,0.000474517,0.000504148,0.000244988,0.00044639
27,-0.107927,51.513821,0.00051381,0.00202797,0.002278755,0.000384981
28,-0.143613,51.523518,0.000862934,0.00098575,0.000711131,0.000629755
29,-0.193487,51.513735,0.000626534,0.000341824,0.000122172,0.000696101
30,-0.093421,51.529154,0.000761374,0.000750853,0.000556967,0.000961487
31,-0.083353,51.529537,0.000799808,0.000598621,0.000414612,0.000928422
32,-0.084439,51.524696,0.00108323,0.002250628,0.002559815,0.000829009
33,-0.070056,51.5156,0.000863149,0.000945813,0.000831371,0.000576721
34,-0.129386,51.534123,0.000654232,0.000360504,0.000377681,0.000644141
36,-0.18498,51.501737,0.000535281,0.000575862,0.000251,0.000399797
37,-0.192369,51.491593,0.000816341,0.000614296,0.000345904,0.000627393
38,-0.197245,51.497387,0.000414827,0.000377681,0.000309832,0.000256583
39,-0.07813,51.526377,0.001684213,0.001586948,0.001222579,0.001013233
40,-0.075578,51.52127,0.000614081,0.000807323,0.000731529,0.000313052
42,-0.093903,51.530991,0.000967714,0.000732388,0.00059261,0.001330795
43,-0.157183,51.52026,0.000774472,0.000752571,0.000447678,0.000550955
45,-0.162298,51.522511,0.001921472,0.000798735,0.000533563,0.00202067
46,-0.06691,51.507131,0.001870155,0.001684643,0.00107958,0.001223009
47,-0.183846,51.523344,0.00099713,0.000512521,0.000204407,0.000725947
48,-0.099141,51.512484,0.001052526,0.002220783,0.002310748,0.000690734
49,-0.145904,51.507069,0.000333021,0.000810544,0.000796802,6.48435E-05
50,-0.087459,51.528673,0.000483964,0.000725947,0.000675489,0.000525404
51,-0.104298,51.526717,0.000417403,0.000741406,0.000735823,0.000534637
52,-0.094934,51.522954,0.000552029,0.000977162,0.000992836,0.000457984
53,-0.143495,51.509992,0.000208272,0.000758583,0.000867228,2.85569E-05
54,-0.094475,51.521747,0.000663465,0.001486677,0.001576642,0.000505006
55,-0.086685,51.517075,0.003027891,0.003380666,0.003984225,0.002595243
56,-0.154701,51.520583,0.000586598,0.000591751,0.00038584,0.00042728
57,-0.120202,51.523346,0.000627608,0.001407877,0.001380823,0.000403876
58,-0.079248,51.524526,0.000950108,0.00116611,0.001037926,0.000625461
60,-0.17219,51.526448,0.000228455,0.000226093,8.95356E-05,0.000230817
61,-0.089446,51.497382,0.000765883,0.000337315,7.30026E-05,0.000818918
62,-0.106323,51.490757,0.00041268,0.000202045,9.748E-05,0.000521969
63,-0.089782,51.53089,0.000496847,0.000336456,0.000141926,0.000747847
64,-0.124749,51.509462,0.002288203,0.001762584,0.001814974,0.001191016
65,-0.135188,51.525227,0.000529484,0.00079852,0.000689875,0.000490406
66,-0.108657,51.51795,0.000754933,0.003603968,0.007021134,0.00031477
67,-0.108028,51.518825,0.000467861,0.001898068,0.001917822,0.000384552
68,-0.116688,51.520596,0.000541508,0.001752492,0.001554956,0.000437372
69,-0.134407,51.526236,0.000850266,0.000407526,0.000365872,0.001025043
71,-0.09885,51.515418,0.000841248,0.00326107,0.004643396,0.00039765
72,-0.10834,51.52352,0.000584021,0.001017957,0.000993909,0.000359645
73,-0.088486,51.525726,0.001915889,0.002551656,0.002364641,0.001288067
