StartStationLon,StartStationLat,EndStationLat,EndStationLon
-0.205279,51.487244,51.506543,-0.123179
-0.056667,51.511542,51.509631,-0.119047
-0.159322,51.461343,51.489591,-0.209378
-0.193487,51.513735,51.516204,-0.155525
-0.192404,51.496481,51.501945,-0.194392
-0.104778,51.504044,51.517008,-0.093885
-0.027467,51.526177,51.516468,-0.079684
-0.135635,51.488226,51.490435,-0.122806
-0.085666,51.499075,51.521113,-0.078869
-0.179135,51.516417,51.506613,-0.142844
-0.057159,51.511088,51.514441,-0.087587
-0.184318,51.468819,51.492369,-0.147478
-0.17524,51.48902,51.51601,-0.0985
-0.138364,51.492111,51.487196,-0.179369
-0.216573,51.466907,51.512911,-0.153645
-0.09315,51.53356,51.534504,-0.106992
-0.160854,51.535892,51.49616,-0.140947
-0.207842,51.471079,51.483217,-0.21186
-0.069542,51.512363,51.517475,-0.075855
-0.106992,51.534504,51.484839,-0.138089
-0.192165,51.457529,51.485357,-0.142207
-0.150908,51.47505,51.501444,-0.110699
-0.179668,51.511654,51.509908,-0.187842
-0.160854,51.535892,51.515059,-0.105344
-0.065076,51.52388,51.502661,-0.021596
-0.084439,51.524696,51.515809,-0.10527
-0.18119,51.490945,51.517842,-0.090075
-0.165842,51.522029,51.520715,-0.145211
-0.122299,51.530199,51.515809,-0.10527
-0.20782,51.473471,51.501364,-0.191462
-0.130458,51.494816,51.514233,-0.073537
-0.14177,51.479501,51.498241,-0.117495
-0.088486,51.525726,51.515809,-0.10527
-0.099981,51.532661,51.511961,-0.097441
-0.032566,51.520597,51.514233,-0.073537
-0.102757,51.536384,51.51196,-0.142783
-0.00699,51.508981,51.514449,-0.077178
-0.079249,51.518908,51.507424,-0.134621
-0.032566,51.520597,51.514233,-0.073537
-0.191803,51.473611,51.477276,-0.18921
-0.082422,51.516154,51.50621,-0.114842
-0.090847,51.525893,51.515418,-0.09885
-0.066035,51.531864,51.523648,-0.074754
-0.133972,51.472993,51.515809,-0.10527
-0.088486,51.525726,51.520044,-0.092176
-0.069543,51.525645,51.506543,-0.123179
-0.163667,51.520331,51.499917,-0.174554
-0.10454,51.505461,51.51824,-0.11655
-0.176267,51.472876,51.466633,-0.169821
-0.150181,51.536922,51.519167,-0.147983
-0.089887,51.520858,51.517334,-0.103604
-0.201968,51.475089,51.467064,-0.193502
-0.217515,51.500353,51.498865,-0.137424
-0.222293,51.501594,51.514759,-0.148105
-0.163347,51.474392,51.507424,-0.134621
-0.113426,51.503919,51.516277,-0.118272
-0.090847,51.525893,51.515418,-0.09885
-0.077121,51.511594,51.503083,-0.017676
-0.141812,51.469259,51.515418,-0.09885
-0.159322,51.461343,51.492369,-0.147478
-0.116493,51.477839,51.481335,-0.138212
-0.113134,51.483145,51.516892,-0.158249
-0.208158,51.4961,51.487244,-0.205279
-0.122299,51.530199,51.517606,-0.121328
-0.122299,51.530199,51.517606,-0.121328
-0.159322,51.461343,51.492369,-0.147478
-0.042744,51.530326,51.511553,-0.09294
-0.162298,51.522511,51.51501,-0.112753
-0.193764,51.508605,51.515631,-0.132328
-0.212607,51.460792,51.461083,-0.191722
-0.092921,51.494436,51.511968,-0.120718
-0.093913,51.496791,51.510484,-0.082989
-0.09315,51.53356,51.515809,-0.10527
-0.221791,51.49968,51.514499,-0.141423
-0.042744,51.530326,51.530515,-0.106408
-0.054162,51.536424,51.515809,-0.10527
-0.11934,51.531066,51.517075,-0.086685
-0.193764,51.508605,51.503117,-0.15352
-0.112432,51.526599,51.511246,-0.093051
-0.183846,51.523344,51.496753,-0.138733
-0.127554,51.493978,51.477839,-0.116493
-0.149551,51.477619,51.509351,-0.147449
-0.149035,51.481121,51.51397,-0.09294
-0.124749,51.509462,51.509462,-0.124749
-0.223616,51.485743,51.468814,-0.210279
-0.028155,51.533283,51.523673,-0.128377
-0.182126,51.463489,51.477619,-0.149551
