hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
0,27,28,23,27,27,23,24
1,28,31,27,32,30,27,27
2,29,41,31,35,43,34,27
3,28,30,30,32,25,28,29
4,32,25,22,23,22,32,34
5,29,18,16,16,17,19,25
6,26,14,13,13,13,13,22
7,20,15,14,14,14,14,19
8,22,15,15,15,15,14,18
9,24,17,15,16,15,15,21
10,27,22,19,19,19,20,24
11,29,25,21,20,21,22,25
12,29,23,19,19,19,20,26
13,30,23,19,18,19,20,28
14,30,24,21,22,21,22,28
15,29,24,20,21,22,22,29
16,27,20,18,19,19,20,28
17,27,17,16,17,18,18,26
18,26,18,16,17,18,19,25
19,24,18,16,17,18,20,23
20,23,17,15,17,17,19,23
21,22,18,15,19,18,20,23
22,21,18,15,18,18,22,23
23,23,20,15,19,19,22,24
