Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units","Bulk GTIN"
Albany,Weekly,"2020-01-06 00:00:00",Conventional,1.155100335,161726.12,3737.00,140642.19,184.16,10996.65,0.00,0.00,0.00,6166.13
Albany,Weekly,"2020-01-12 00:00:00",Conventional,1.227608880,116738.30,3649.24,90717.11,203.78,16359.88,0.00,0.00,0.00,5808.29
Albany,Weekly,"2020-01-19 00:00:00",Conventional,1.088107221,138162.91,5057.86,108635.20,306.59,15879.12,0.00,0.00,0.00,8284.13
Albany,Weekly,"2020-01-26 00:00:00",Conventional,1.160866356,106202.76,4124.56,72571.73,270.72,21273.86,0.00,0.00,0.00,7961.90
Albany,Weekly,"2020-02-02 00:00:00",Conventional,1.251056884,186210.93,4933.07,156256.79,215.29,17313.74,0.00,0.00,0.00,7492.04
Albany,Weekly,"2020-02-09 00:00:00",Conventional,1.182923141,112733.67,4385.86,83521.42,112.53,15897.54,0.00,0.00,0.00,8816.32
Albany,Weekly,"2020-02-16 00:00:00",Conventional,1.219410872,98161.95,4501.30,69443.44,116.05,14938.31,0.00,0.00,0.00,9162.84
Albany,Weekly,"2020-02-23 00:00:00",Conventional,1.343168053,121781.37,4297.94,94323.17,118.28,15227.58,0.00,0.00,0.00,7814.40
Albany,Weekly,"2020-03-01 00:00:00",Conventional,1.292302301,102824.97,10324.34,69489.98,77.75,16112.18,0.00,0.00,0.00,6820.71
Albany,Weekly,"2020-03-08 00:00:00",Conventional,1.265653188,138106.43,7035.64,99396.14,107.65,22099.25,0.00,0.00,0.00,9467.75
Albany,Weekly,"2020-03-15 00:00:00",Conventional,1.275168717,135921.39,12355.25,87227.77,112.61,24600.09,0.00,0.00,0.00,11625.67
Albany,Weekly,"2020-03-22 00:00:00",Conventional,1.345303891,163295.93,12378.23,113326.80,192.78,27089.14,0.00,0.00,0.00,10308.98
Albany,Weekly,"2020-03-29 00:00:00",Conventional,1.143093153,142254.02,21796.91,94668.78,196.87,18231.50,0.00,0.00,0.00,7359.97
Albany,Weekly,"2020-04-05 00:00:00",Conventional,1.259301549,126131.88,16374.94,78938.31,202.58,22103.68,0.00,0.00,0.00,8512.37
Albany,Weekly,"2020-04-12 00:00:00",Conventional,1.443246076,131812.89,17859.96,85132.72,200.09,23083.57,0.00,0.00,0.00,5536.54
Albany,Weekly,"2020-04-19 00:00:00",Conventional,1.454467131,120773.40,10285.29,82570.03,182.97,19056.38,0.00,0.00,0.00,8678.73
Albany,Weekly,"2020-04-26 00:00:00",Conventional,1.523867411,162750.21,9975.95,122140.40,126.71,20876.51,0.00,0.00,0.00,9630.64
Albany,Weekly,"2020-05-03 00:00:00",Conventional,1.469798646,147828.27,9516.93,104621.13,265.62,21644.16,0.00,0.00,0.00,11780.44
Albany,Weekly,"2020-05-10 00:00:00",Conventional,1.320601670,186598.87,11783.77,139712.07,232.47,23057.54,0.00,0.00,0.00,11813.02
Albany,Weekly,"2020-05-17 00:00:00",Conventional,1.522925008,155788.15,9215.86,112819.39,192.78,21634.00,0.00,0.00,0.00,11926.12
Albany,Weekly,"2020-05-24 00:00:00",Conventional,1.465206530,156585.19,9724.78,109421.12,279.03,24257.65,0.00,0.00,0.00,12902.60
Albany,Weekly,"2020-05-31 00:00:00",Conventional,1.532191213,184144.80,10931.81,140762.30,309.24,21831.46,0.00,0.00,0.00,10309.99
Albany,Weekly,"2020-06-07 00:00:00",Conventional,1.435383002,145578.20,9409.95,101987.48,192.78,24912.70,0.00,0.00,0.00,9075.28
Albany,Weekly,"2020-06-14 00:00:00",Conventional,1.367060182,199267.48,10239.42,154286.78,494.80,23645.07,0.00,0.00,0.00,10601.40
Albany,Weekly,"2020-06-21 00:00:00",Conventional,1.490540424,140597.37,10158.75,101629.30,302.25,21430.67,0.00,0.00,0.00,7076.40
Albany,Weekly,"2020-06-28 00:00:00",Conventional,1.541685960,149462.76,10397.48,114190.76,254.14,20071.58,0.00,0.00,0.00,4548.79
Albany,Weekly,"2020-07-05 00:00:00",Conventional,1.433643703,146451.10,10223.70,107173.61,341.22,26043.54,0.00,0.00,0.00,2669.03
Albany,Weekly,"2020-07-12 00:00:00",Conventional,1.522719361,141855.37,6708.10,105628.68,338.27,26141.05,0.00,0.00,0.00,3039.27
Albany,Weekly,"2020-07-19 00:00:00",Conventional,1.338973144,135758.48,8983.93,92284.57,419.66,30722.78,0.00,0.00,0.00,3347.56
Albany,Weekly,"2020-07-26 00:00:00",Conventional,1.394884918,163089.46,8398.77,111173.06,199.13,39174.95,0.00,0.00,0.00,4143.55
Albany,Weekly,"2020-08-02 00:00:00",Conventional,1.183396016,149144.75,7694.90,94214.90,189.29,45028.92,0.00,0.00,0.00,2016.73
Albany,Weekly,"2020-08-09 00:00:00",Conventional,1.001741708,151700.13,10942.78,104697.48,320.75,34059.20,0.00,0.00,0.00,1679.92
Albany,Weekly,"2020-08-16 00:00:00",Conventional,1.358984041,159535.06,8317.00,115801.25,363.85,30213.00,0.00,0.00,0.00,4839.97
Albany,Weekly,"2020-08-23 00:00:00",Conventional,1.128180621,119195.04,10552.50,81664.36,354.54,22242.30,0.00,0.00,0.00,4381.34
Albany,Weekly,"2020-08-30 00:00:00",Conventional,1.042628866,135446.03,8923.81,102863.79,247.83,18731.63,0.00,0.00,0.00,4678.97
Albany,Weekly,"2020-09-06 00:00:00",Conventional,1.353883982,124227.97,8094.03,89700.13,112.45,21593.79,0.00,0.00,0.00,4727.56
Albany,Weekly,"2020-09-13 00:00:00",Conventional,1.056936568,113169.54,6390.65,78652.51,119.07,24800.19,0.00,0.00,0.00,3207.12
Albany,Weekly,"2020-09-20 00:00:00",Conventional,1.061934979,122826.04,6925.76,89135.45,103.30,20077.22,0.00,0.00,0.00,6584.31
Albany,Weekly,"2020-09-27 00:00:00",Conventional,1.385493165,124474.66,6016.44,94747.85,114.51,20199.27,0.00,0.00,0.00,3396.58
Albany,Weekly,"2020-10-04 00:00:00",Conventional,1.265458877,106833.49,6545.28,74937.27,98.67,21171.36,0.00,0.00,0.00,4080.91
Albany,Weekly,"2020-10-11 00:00:00",Conventional,1.320176060,115594.77,5790.31,85707.36,41.58,19358.43,0.00,0.00,0.00,4697.09
Albany,Weekly,"2020-10-18 00:00:00",Conventional,1.087752878,105924.61,5720.02,77890.21,9.10,16583.35,0.00,0.00,0.00,5721.93
Albany,Weekly,"2020-10-25 00:00:00",Conventional,1.219199776,126229.61,5813.68,100094.51,19.94,15171.19,0.00,0.00,0.00,5130.29
Albany,Weekly,"2020-11-01 00:00:00",Conventional,1.407304835,118243.15,6178.33,90732.19,1.89,15334.44,0.00,0.00,0.00,5996.30
Albany,Weekly,"2020-11-08 00:00:00",Conventional,1.240652579,104049.68,4101.62,80446.50,25.04,16431.69,0.00,0.00,0.00,3044.83
Albany,Weekly,"2020-11-15 00:00:00",Conventional,1.389898332,128383.98,6319.43,98781.79,42.67,17761.49,0.00,0.00,0.00,5478.59
Albany,Weekly,"2020-11-22 00:00:00",Conventional,0.945943641,128831.99,6197.15,98539.65,29.37,19322.52,0.00,0.00,0.00,4743.30
Albany,Weekly,"2020-11-29 00:00:00",Conventional,0.950167657,95877.52,5233.72,71132.04,29.30,15544.55,0.00,0.00,0.00,3937.92
Albany,Weekly,"2020-12-06 00:00:00",Conventional,1.312320903,123672.59,6292.22,89332.50,31.99,22188.97,0.00,0.00,0.00,5826.91
Albany,Weekly,"2020-12-13 00:00:00",Conventional,0.965636694,122345.89,5643.87,91315.50,72.60,19638.14,0.00,0.00,0.00,5675.79
Albany,Weekly,"2020-12-20 00:00:00",Conventional,1.246676529,101742.76,6266.37,73312.73,25.52,18334.60,0.00,0.00,0.00,3803.54
Albany,Weekly,"2020-12-27 00:00:00",Conventional,1.081859049,93589.05,5808.19,66094.46,22.68,18188.13,0.00,0.00,0.00,3475.59
Atlanta,Weekly,"2020-01-06 00:00:00",Conventional,0.941879812,714246.17,314827.55,31986.58,2757.78,88049.73,0.00,0.00,0.00,276624.54
Atlanta,Weekly,"2020-01-12 00:00:00",Conventional,0.932356941,743150.44,329534.02,32341.84,2497.81,101508.88,0.00,0.00,0.00,277267.90
Atlanta,Weekly,"2020-01-19 00:00:00",Conventional,0.932959644,742157.23,337285.47,29918.72,3425.56,105447.93,0.00,0.00,0.00,266079.56
Atlanta,Weekly,"2020-01-26 00:00:00",Conventional,0.985377836,724738.88,342342.19,30393.58,2621.84,112727.19,0.00,0.00,0.00,236654.08
Atlanta,Weekly,"2020-02-02 00:00:00",Conventional,0.926747147,872329.09,385352.95,57863.49,717.52,115733.17,0.00,0.00,0.00,312661.97
Atlanta,Weekly,"2020-02-09 00:00:00",Conventional,0.999285201,731593.46,292678.71,57282.63,128.68,115626.76,0.00,0.00,0.00,265876.67
Atlanta,Weekly,"2020-02-16 00:00:00",Conventional,0.958697726,664767.94,257305.38,42764.98,45.30,110846.56,0.00,0.00,0.00,253805.73
Atlanta,Weekly,"2020-02-23 00:00:00",Conventional,0.963223543,680168.17,290050.27,30049.42,75.83,119000.11,0.00,0.00,0.00,240992.55
Atlanta,Weekly,"2020-03-01 00:00:00",Conventional,1.098550642,649260.80,274732.87,26174.19,63.33,116079.20,0.00,0.00,0.00,232211.21
Atlanta,Weekly,"2020-03-08 00:00:00",Conventional,1.128772634,698641.15,300107.24,25059.97,73.68,119037.35,0.00,0.00,0.00,254362.92
Atlanta,Weekly,"2020-03-15 00:00:00",Conventional,1.115267902,865055.04,374096.26,28536.40,93.98,158244.52,0.00,0.00,0.00,304083.89
Atlanta,Weekly,"2020-03-22 00:00:00",Conventional,1.080955168,801556.33,358846.63,28282.20,73.17,128678.56,0.00,0.00,0.00,285675.76
Atlanta,Weekly,"2020-03-29 00:00:00",Conventional,1.137873618,805328.51,368720.68,27546.41,113.14,136847.27,0.00,0.00,0.00,272101.01
Atlanta,Weekly,"2020-04-05 00:00:00",Conventional,1.128764737,907265.67,425642.37,24682.94,129.47,161681.34,0.00,0.00,0.00,295129.55
Atlanta,Weekly,"2020-04-12 00:00:00",Conventional,1.143417505,773757.53,359188.37,30784.86,90.53,129732.53,0.00,0.00,0.00,253961.24
Atlanta,Weekly,"2020-04-19 00:00:00",Conventional,1.134734476,831953.47,388226.91,27121.19,85.53,144067.50,0.00,0.00,0.00,272452.34
Atlanta,Weekly,"2020-04-26 00:00:00",Conventional,1.148249505,838720.46,388632.07,25482.27,62.04,143702.70,0.00,0.00,0.00,280841.38
Atlanta,Weekly,"2020-05-03 00:00:00",Conventional,1.055654464,1009607.41,495021.66,27014.12,770.93,163518.21,0.00,0.00,0.00,323282.48
Atlanta,Weekly,"2020-05-10 00:00:00",Conventional,1.102573562,886429.88,389992.74,23367.75,152.70,170155.54,0.00,0.00,0.00,302761.15
Atlanta,Weekly,"2020-05-17 00:00:00",Conventional,1.089320912,881594.67,405435.16,23101.95,105.75,159646.91,0.00,0.00,0.00,293304.88
Atlanta,Weekly,"2020-05-24 00:00:00",Conventional,1.026775002,945471.96,450701.73,25982.32,98.92,155092.24,0.00,0.00,0.00,313596.73
Atlanta,Weekly,"2020-05-31 00:00:00",Conventional,1.110756344,835799.59,387222.51,25098.34,94.74,164662.07,0.00,0.00,0.00,258721.94
Atlanta,Weekly,"2020-06-07 00:00:00",Conventional,1.076056505,830422.69,365791.47,24328.79,55.58,164635.87,0.00,0.00,0.00,275610.99
Atlanta,Weekly,"2020-06-14 00:00:00",Conventional,0.962689717,887753.95,368107.58,21029.77,64.49,180695.09,0.00,0.00,0.00,317857.02
Atlanta,Weekly,"2020-06-21 00:00:00",Conventional,0.962069823,861267.74,339279.92,21453.77,35.33,176546.51,0.00,0.00,0.00,323952.21
Atlanta,Weekly,"2020-06-28 00:00:00",Conventional,1.005184113,807925.84,324053.28,22113.66,47.39,166950.91,0.00,0.00,0.00,294760.60
Atlanta,Weekly,"2020-07-05 00:00:00",Conventional,0.995396355,862304.40,362703.34,24331.01,87.99,174173.21,0.00,0.00,0.00,301008.85
Atlanta,Weekly,"2020-07-12 00:00:00",Conventional,0.926173596,815950.20,329755.09,26615.19,68.62,162091.61,0.00,0.00,0.00,297419.69
Atlanta,Weekly,"2020-07-19 00:00:00",Conventional,0.924128874,867054.55,349388.08,39166.41,96.96,177015.71,0.00,0.00,0.00,301387.40
Atlanta,Weekly,"2020-07-26 00:00:00",Conventional,0.908798295,901264.17,383972.33,29490.70,123.71,173547.94,0.00,0.00,0.00,314129.50
Atlanta,Weekly,"2020-08-02 00:00:00",Conventional,0.897147303,867445.53,364290.37,25295.23,61.03,164625.07,0.00,0.00,0.00,313173.82
Atlanta,Weekly,"2020-08-09 00:00:00",Conventional,0.905258768,863774.92,367396.82,25494.72,137.19,166250.57,0.00,0.00,0.00,304495.62
Atlanta,Weekly,"2020-08-16 00:00:00",Conventional,0.867855796,801272.31,328557.65,22263.53,262.07,169185.61,0.00,0.00,0.00,281003.46
Atlanta,Weekly,"2020-08-23 00:00:00",Conventional,0.855865706,838180.11,338090.29,21018.16,350.35,172858.01,0.00,0.00,0.00,305863.29
Atlanta,Weekly,"2020-08-30 00:00:00",Conventional,0.844163233,850113.21,319111.14,23027.88,107.17,193389.33,0.00,0.00,0.00,314477.69
Atlanta,Weekly,"2020-09-06 00:00:00",Conventional,0.864157335,859583.26,357375.71,22101.50,135.95,159434.57,0.00,0.00,0.00,320535.54
Atlanta,Weekly,"2020-09-13 00:00:00",Conventional,0.864652382,824609.47,338801.85,20712.70,49.87,165517.78,0.00,0.00,0.00,299527.27
Atlanta,Weekly,"2020-09-20 00:00:00",Conventional,0.816766472,804514.46,315837.44,18443.25,65.86,181306.14,0.00,0.00,0.00,288861.77
Atlanta,Weekly,"2020-09-27 00:00:00",Conventional,0.827205509,814546.82,337162.48,23262.59,74.36,152538.23,0.00,0.00,0.00,301509.15
Atlanta,Weekly,"2020-10-04 00:00:00",Conventional,0.845669299,785602.09,326622.33,26747.50,868.30,152070.68,0.00,0.00,0.00,279293.29
Atlanta,Weekly,"2020-10-11 00:00:00",Conventional,0.840618785,763680.79,305162.32,23369.43,385.36,159955.41,0.00,0.00,0.00,274808.27
Atlanta,Weekly,"2020-10-18 00:00:00",Conventional,0.827639211,800209.75,325136.89,20101.05,46.31,162189.03,0.00,0.00,0.00,292736.47
Atlanta,Weekly,"2020-10-25 00:00:00",Conventional,0.796996009,815989.03,346360.62,19416.85,42.56,172281.52,0.00,0.00,0.00,277887.47
Atlanta,Weekly,"2020-11-01 00:00:00",Conventional,0.835412347,753970.40,298488.17,17691.59,23.25,178067.56,0.00,0.00,0.00,259699.83
Atlanta,Weekly,"2020-11-08 00:00:00",Conventional,0.811670803,791017.58,304280.33,17345.79,66.86,197909.95,0.00,0.00,0.00,271414.65
Atlanta,Weekly,"2020-11-15 00:00:00",Conventional,0.814524970,749586.43,305090.26,19097.92,51.01,175763.59,0.00,0.00,0.00,249583.64
Atlanta,Weekly,"2020-11-22 00:00:00",Conventional,0.829058561,681973.93,273012.70,21652.87,32.06,178238.55,0.00,0.00,0.00,209037.75
Atlanta,Weekly,"2020-11-29 00:00:00",Conventional,0.772651298,644680.08,277172.23,20431.90,57.89,149312.59,0.00,0.00,0.00,197705.46
Atlanta,Weekly,"2020-12-06 00:00:00",Conventional,0.856214059,686192.13,271038.28,28690.33,33.33,158114.30,0.00,0.00,0.00,228315.89
Atlanta,Weekly,"2020-12-13 00:00:00",Conventional,0.818160449,691077.37,281532.96,25018.88,22.14,175459.85,0.00,0.00,0.00,209043.53
Atlanta,Weekly,"2020-12-20 00:00:00",Conventional,0.854921427,688332.23,289969.62,26462.09,43.57,168318.88,0.00,0.00,0.00,203538.07
Atlanta,Weekly,"2020-12-27 00:00:00",Conventional,0.800581766,634206.84,269384.79,23321.98,64.18,154683.80,0.00,0.00,0.00,186752.08
Baltimore/Washington,Weekly,"2020-01-06 00:00:00",Conventional,1.194204178,898091.79,106374.09,461193.66,5850.88,247747.75,0.00,0.00,0.00,76925.39
Baltimore/Washington,Weekly,"2020-01-12 00:00:00",Conventional,1.347911090,820894.00,86695.05,364817.44,4451.67,270011.48,0.00,0.00,0.00,94918.36
Baltimore/Washington,Weekly,"2020-01-19 00:00:00",Conventional,1.301836743,938039.77,107577.12,393155.86,4661.46,343749.37,0.00,0.00,0.00,88895.96
Baltimore/Washington,Weekly,"2020-01-26 00:00:00",Conventional,1.275691441,963398.71,95222.92,402895.59,5059.47,383493.14,0.00,0.00,0.00,76727.60
Baltimore/Washington,Weekly,"2020-02-02 00:00:00",Conventional,1.197626574,1105715.32,125230.10,435524.87,3154.57,388107.84,0.00,0.00,0.00,153697.94
Baltimore/Washington,Weekly,"2020-02-09 00:00:00",Conventional,1.144656269,1032561.06,109225.38,509841.09,1680.79,333429.60,0.00,0.00,0.00,78384.20
Baltimore/Washington,Weekly,"2020-02-16 00:00:00",Conventional,1.389309795,815749.54,107597.17,357003.39,1520.04,271858.64,0.00,0.00,0.00,77770.31
Baltimore/Washington,Weekly,"2020-02-23 00:00:00",Conventional,1.382522524,862044.59,110139.28,391401.41,1960.25,284778.53,0.00,0.00,0.00,73765.13
Baltimore/Washington,Weekly,"2020-03-01 00:00:00",Conventional,1.341112131,933482.32,113753.32,435802.26,4934.13,296915.85,0.00,0.00,0.00,82076.76
Baltimore/Washington,Weekly,"2020-03-08 00:00:00",Conventional,1.504725906,878389.73,116066.79,385910.64,2013.56,282503.09,0.00,0.00,0.00,91895.65
Baltimore/Washington,Weekly,"2020-03-15 00:00:00",Conventional,1.549752022,1052563.92,162840.84,397705.58,1509.63,378955.25,0.00,0.00,0.00,111552.62
Baltimore/Washington,Weekly,"2020-03-22 00:00:00",Conventional,1.528051737,1102633.27,219240.96,404292.64,1233.87,386717.46,0.00,0.00,0.00,91148.33
Baltimore/Washington,Weekly,"2020-03-29 00:00:00",Conventional,1.493941894,1072887.32,226326.90,392598.80,1489.47,346881.52,0.00,0.00,0.00,105590.64
Baltimore/Washington,Weekly,"2020-04-05 00:00:00",Conventional,1.290166780,1196045.12,272524.74,442417.34,1620.52,374079.98,0.00,0.00,0.00,105402.55
Baltimore/Washington,Weekly,"2020-04-12 00:00:00",Conventional,1.443541653,1138235.44,222501.96,387831.40,1984.53,419982.49,0.00,0.00,0.00,105935.06
Baltimore/Washington,Weekly,"2020-04-19 00:00:00",Conventional,1.494894281,1084695.62,212342.68,375633.75,2279.08,403864.35,0.00,0.00,0.00,90575.77
Baltimore/Washington,Weekly,"2020-04-26 00:00:00",Conventional,1.504856661,1144319.24,148366.84,502271.09,4093.22,395717.48,0.00,0.00,0.00,93870.61
Baltimore/Washington,Weekly,"2020-05-03 00:00:00",Conventional,1.300864479,1365350.20,174565.23,511655.18,3722.95,559256.37,0.00,0.00,0.00,116150.47
Baltimore/Washington,Weekly,"2020-05-10 00:00:00",Conventional,1.254167408,1358590.06,172599.86,631107.82,3373.96,461705.84,0.00,0.00,0.00,89802.58
Baltimore/Washington,Weekly,"2020-05-17 00:00:00",Conventional,1.406257778,1127335.09,149952.08,450816.39,4059.49,437771.99,0.00,0.00,0.00,84735.15
Baltimore/Washington,Weekly,"2020-05-24 00:00:00",Conventional,1.400937324,1185294.38,156160.76,463981.16,4033.28,469251.73,0.00,0.00,0.00,91867.46
Baltimore/Washington,Weekly,"2020-05-31 00:00:00",Conventional,1.398422078,1160965.47,146540.83,475969.16,4052.28,442652.13,0.00,0.00,0.00,91751.07
