Geography,Type,ASP,Total Units Sold,Week,Year,Total Crop Inventory
Albany,Conventional,1.135643678,142311.2,1/23/2022,2022,60960294
Albany,Conventional,1.204902481,130741.9,1/16/2022,2022,56972754
Albany,Conventional,1.197224079,128466.26,1/9/2022,2022,55651097
Albany,Conventional,1.065195915,141578.52,1/2/2022,2021,44868865
Atlanta,Conventional,1.248753437,708279.32,1/23/2022,2022,60960294
Atlanta,Conventional,1.203556203,900523.56,1/16/2022,2022,56972754
Atlanta,Conventional,1.186341107,781699.94,1/9/2022,2022,55651097
Atlanta,Conventional,1.017629959,774665.32,1/2/2022,2021,44868865
Baltimore/Washington,Conventional,1.484066286,903286.43,1/23/2022,2022,60960294
Baltimore/Washington,Conventional,1.425475714,972309.74,1/16/2022,2022,56972754
Baltimore/Washington,Conventional,1.263998297,1039384.78,1/9/2022,2022,55651097
Baltimore/Washington,Conventional,1.294365832,877505.91,1/2/2022,2021,44868865
Birmingham/Montgomery,Conventional,1.183882223,309419.83,1/23/2022,2022,60960294
Birmingham/Montgomery,Conventional,1.165038993,331414.01,1/16/2022,2022,56972754
Birmingham/Montgomery,Conventional,1.122652604,318134.38,1/9/2022,2022,55651097
Birmingham/Montgomery,Conventional,0.980741832,323009.41,1/2/2022,2021,44868865
Boise,Conventional,1.333466702,119862.81,1/23/2022,2022,60960294
Boise,Conventional,1.44927669,113915.36,1/16/2022,2022,56972754
Boise,Conventional,1.327297129,115342.29,1/9/2022,2022,55651097
Boise,Conventional,1.143143949,126710.89,1/2/2022,2021,44868865
Boston,Conventional,1.510307807,632402.83,1/23/2022,2022,60960294
Boston,Conventional,1.363962559,714978.34,1/16/2022,2022,56972754
Boston,Conventional,1.542009814,640435.03,1/9/2022,2022,55651097
Boston,Conventional,1.343450604,576043.86,1/2/2022,2021,44868865
Buffalo/Rochester,Conventional,1.322058727,196382.5,1/23/2022,2022,60960294
Buffalo/Rochester,Conventional,1.421010791,196602.67,1/16/2022,2022,56972754
Buffalo/Rochester,Conventional,1.363746305,194397.29,1/9/2022,2022,55651097
Buffalo/Rochester,Conventional,1.255692456,185162.14,1/2/2022,2021,44868865
Charlotte,Conventional,1.483118703,312621.17,1/23/2022,2022,60960294
Charlotte,Conventional,1.350760971,354305.22,1/16/2022,2022,56972754
Charlotte,Conventional,1.215315552,368090.41,1/9/2022,2022,55651097
Charlotte,Conventional,1.131690713,396075.03,1/2/2022,2021,44868865
Chicago,Conventional,1.479813669,802067.45,1/23/2022,2022,60960294
Chicago,Conventional,1.436018277,813439.44,1/16/2022,2022,56972754
Chicago,Conventional,1.421930009,800338.38,1/9/2022,2022,55651097
Chicago,Conventional,1.029123232,1177381.67,1/2/2022,2021,44868865
Cincinnati/Dayton,Conventional,1.017518053,322467.5,1/23/2022,2022,60960294
Cincinnati/Dayton,Conventional,0.981073085,355946.71,1/16/2022,2022,56972754
Cincinnati/Dayton,Conventional,0.925662453,354676.45,1/9/2022,2022,55651097
Cincinnati/Dayton,Conventional,0.881990729,351248.53,1/2/2022,2021,44868865
Columbus,Conventional,1.069786496,260975.34,1/23/2022,2022,60960294
Columbus,Conventional,0.942886814,297423.18,1/16/2022,2022,56972754
Columbus,Conventional,0.938357214,283679.56,1/9/2022,2022,55651097
Columbus,Conventional,0.839014125,300928.41,1/2/2022,2021,44868865
Dallas/Ft. Worth,Conventional,1.016927689,1344295.05,1/23/2022,2022,60960294
Dallas/Ft. Worth,Conventional,0.990175132,1423860.5,1/16/2022,2022,56972754
Dallas/Ft. Worth,Conventional,0.928117851,1311807.29,1/9/2022,2022,55651097
Dallas/Ft. Worth,Conventional,0.762576452,1538466.7,1/2/2022,2021,44868865
Denver,Conventional,1.27577358,794000.51,1/23/2022,2022,60960294
Denver,Conventional,1.300648784,919181.8,1/16/2022,2022,56972754
Denver,Conventional,1.182646373,945844.97,1/9/2022,2022,55651097
Denver,Conventional,1.152568875,944611.67,1/2/2022,2021,44868865
Detroit,Conventional,1.097215594,467634.9,1/23/2022,2022,60960294
Detroit,Conventional,0.99432007,521046.7,1/16/2022,2022,56972754
Detroit,Conventional,0.929786298,542589.59,1/9/2022,2022,55651097
Detroit,Conventional,0.848969935,591436.41,1/2/2022,2021,44868865
Grand Rapids,Conventional,1.534456195,162407.52,1/23/2022,2022,60960294
Grand Rapids,Conventional,1.449276432,147358.07,1/16/2022,2022,56972754
Grand Rapids,Conventional,1.19859021,180172.71,1/9/2022,2022,55651097
Grand Rapids,Conventional,0.988966708,242702,1/2/2022,2021,44868865
Harrisburg/Scranton,Conventional,1.307190252,351074.5,1/23/2022,2022,60960294
Harrisburg/Scranton,Conventional,1.288470418,351818.14,1/16/2022,2022,56972754
Harrisburg/Scranton,Conventional,1.124856736,394787.62,1/9/2022,2022,55651097
Harrisburg/Scranton,Conventional,1.105691778,364891.29,1/2/2022,2021,44868865
Hartford/Springfield,Conventional,1.553028196,332753.06,1/23/2022,2022,60960294
Hartford/Springfield,Conventional,1.489763954,368074.94,1/16/2022,2022,56972754
Hartford/Springfield,Conventional,1.555353778,340954.74,1/9/2022,2022,55651097
Hartford/Springfield,Conventional,1.308227213,380218.83,1/2/2022,2021,44868865
