Week Ending,Geography,Type,ASP,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,Bulk GTIN
1/23/2022,California,Conventional,1.426292325,5934897.87,1542076.29,562079.04,163560.59,1315035.76,2352146.18
1/16/2022,California,Conventional,1.412093977,5909254.16,1714591.2,549155,135207.19,1441219.87,2069080.9
1/9/2022,California,Conventional,1.27570071,6168021.13,1382604.52,691142.75,165735.32,1454580.16,2473958.37
1/2/2022,California,Conventional,1.204160742,6309795.37,1328170.4,778296.63,182941.17,1309717.65,2710669.51
1/23/2022,Great Lakes,Conventional,1.205796938,3972117.03,984900.78,503376.17,225913.18,836305.08,1421621.83
1/16/2022,Great Lakes,Conventional,1.133069484,4222604.01,1064787.03,429619.16,141170.87,995313.87,1591713.09
1/9/2022,Great Lakes,Conventional,1.079471904,4211116.2,1281752.61,431599.49,146823.32,832116.95,1518823.83
1/2/2022,Great Lakes,Conventional,0.940627899,4903981.56,1106859.87,735858.85,379234.2,789912.39,1892116.25
1/23/2022,Midsouth,Conventional,1.303678822,3634375.94,1218808.03,497566.39,12687.55,1250375.87,654938.1
1/16/2022,Midsouth,Conventional,1.224143835,4242944.8,1355900.48,548332.81,13407.59,1446441.13,878862.78
1/9/2022,Midsouth,Conventional,1.108097461,4263565.8,1525541.35,564971.17,15280.6,1375580.73,782191.93
1/2/2022,Midsouth,Conventional,1.096527159,4040403.36,1338382.5,493264.92,15253.58,1416662.62,776839.74
1/23/2022,Northeast,Conventional,1.41942692,5224821.87,1205715.78,1896277.32,1201.6,1717455.38,404171.79
1/16/2022,Northeast,Conventional,1.348573984,5893124.13,1649183.56,1947744.65,1440.3,1767996.03,526759.59
1/9/2022,Northeast,Conventional,1.372697887,5333437.47,1246494.22,1970650.48,1465.21,1706592.15,408235.42
1/2/2022,Northeast,Conventional,1.256217667,5397153.96,1620128.78,2038103.74,1229.91,1365776.24,371915.3
1/23/2022,Plains,Conventional,1.284293231,1810913.41,578016.69,324800.64,1787.62,543673.69,362634.77
1/16/2022,Plains,Conventional,1.264119091,1886878.31,536119.93,354942.25,2134.31,631216.24,362465.58
1/9/2022,Plains,Conventional,1.213142197,1726734.37,503548.96,351139.7,1579.52,534220.84,336245.36
1/2/2022,Plains,Conventional,1.018229638,1950985.34,541724.69,566324.98,2116.42,521507.32,319311.93
1/23/2022,South Central,Conventional,1.07483289,4886704.65,1653500.37,548357.67,68143,1535516.81,1081186.8
1/16/2022,South Central,Conventional,1.06718596,5092528.08,1723805.65,493543.36,70219.49,1673659.66,1131299.92
1/9/2022,South Central,Conventional,0.996252109,4795388.56,1533911.44,646062.65,67758.49,1485922.69,1061733.29
1/2/2022,South Central,Conventional,0.859506893,5306150.57,1656356.87,670286.62,68721.06,1928229.46,982556.57
1/23/2022,Southeast,Conventional,1.266365524,4652113.04,2044222.15,169445.85,2952.37,1236302.28,1199190.39
1/16/2022,Southeast,Conventional,1.254142283,5039884.41,2191731.68,192234.53,3071.71,1284614.19,1368232.3
1/9/2022,Southeast,Conventional,1.206295262,4872135.04,2181869.46,201978.2,2965.04,1216460.45,1268861.89
1/2/2022,Southeast,Conventional,1.064581655,5028583.23,2377384.54,185570.4,2792.08,1185332,1277504.48
1/23/2022,West,Conventional,1.216607247,6792907.22,1564098.75,619077.46,30263.38,1542122.22,3037345.4
1/16/2022,West,Conventional,1.287942031,6607770.93,1452195.79,596755.93,27206.38,1559470.99,2972141.83
1/9/2022,West,Conventional,1.133430678,6886368.02,1421427.09,749746.65,33078.32,1579596.87,3102519.09
1/2/2022,West,Conventional,1.026909176,7036005.57,1427840.67,776648.62,35648.66,1404477.93,3391389.69
1/23/2022,California,Organic,1.851263999,358253.77,19740.12,17882.6,5.86,171596.19,149029.01
1/16/2022,California,Organic,1.806706635,415901.17,22005.9,17769.64,2.92,176412.09,199710.62
1/9/2022,California,Organic,1.948208583,268115.92,16931.63,20140.95,14.51,122418.7,108610.14
1/2/2022,California,Organic,1.871531299,316962.52,18555.53,19420.91,0,149152.24,129833.83
1/23/2022,Great Lakes,Organic,1.581405211,188249.43,3821.89,15789.08,1.2,99720.49,68916.78
1/16/2022,Great Lakes,Organic,1.455725911,199455.55,4388.66,16397.89,0,111742.58,66926.42
1/9/2022,Great Lakes,Organic,1.574685195,165225.36,4423.23,16118.76,0,86908.85,57774.52
1/2/2022,Great Lakes,Organic,1.602071652,161488.19,4936.59,15658.1,0,74936.01,65957.49
1/23/2022,Midsouth,Organic,1.665594396,215227.92,2837.19,20663.12,82.3,153684.64,37960.67
1/16/2022,Midsouth,Organic,1.608059137,230045.16,2251.47,22760.79,91.61,164002.08,40939.22
1/9/2022,Midsouth,Organic,1.523334893,263868.48,2390.26,21975.36,76.01,202196.54,37230.3
1/2/2022,Midsouth,Organic,1.673893831,215685.84,2059.23,19708.23,83.37,159774.43,34060.57
1/23/2022,Northeast,Organic,1.73989593,294230.85,39179.82,14084.3,11.86,225328.55,15626.32
1/16/2022,Northeast,Organic,1.754481015,300293.07,24638.83,13483.74,11.74,243989.67,18169.09
1/9/2022,Northeast,Organic,1.679581473,356138.16,21719.41,15488.2,4.52,302604.37,16321.67
1/2/2022,Northeast,Organic,1.777734784,227030.67,21099.01,14180.99,23.98,176733.39,14993.3
1/23/2022,Plains,Organic,1.658772812,48018.66,9267.42,1991.68,50.5,31675.32,5033.74
1/16/2022,Plains,Organic,1.740967804,51743.33,10444.77,2120.66,16.96,33231.2,5929.74
1/9/2022,Plains,Organic,1.628020098,54779.24,13060.53,2001.8,83.69,33209.71,6423.51
1/2/2022,Plains,Organic,1.62493365,49345.02,8251.3,2302.95,10.09,30773.68,8006.99
1/23/2022,South Central,Organic,1.456346957,179162.41,32552.47,4479.46,0,121713.34,20417.14
1/16/2022,South Central,Organic,1.456067818,155621.56,13710.88,2447.73,0,115288.22,24174.73
1/9/2022,South Central,Organic,1.432041651,156538.04,15256.41,2128.29,0,110600.98,28552.37
1/2/2022,South Central,Organic,1.441908141,141130.22,14637.41,2484.56,0,98411.88,25596.36
1/23/2022,Southeast,Organic,1.099615818,530498.29,3810.14,7011.84,37.3,449892.2,69746.82
1/16/2022,Southeast,Organic,1.109043051,540681.15,2187.8,8429.38,25.08,448122.64,81916.26
1/9/2022,Southeast,Organic,1.065466257,571535.42,2023.68,7338.27,50.21,458597.13,103526.11
1/2/2022,Southeast,Organic,1.099630888,507215.2,1810.4,6576.38,11.1,375870.58,122946.75
1/23/2022,West,Organic,1.729660512,362915.65,18270.62,21219.14,32.32,132411.56,190982.01
1/16/2022,West,Organic,1.92317573,311628.49,23701.56,20849.49,11.69,109983.35,157082.39
1/9/2022,West,Organic,1.782967949,396879.69,22760.4,23865.07,187.53,106025.71,244040.98
1/2/2022,West,Organic,1.803923195,368537.48,20580.38,21390.03,79.64,91372.47,235114.95
