County,State,State Abbr,Population
Autauga County,Alabama,AL,"55,243"
Baldwin County,Alabama,AL,"207,601"
Barbour County,Alabama,AL,"25,806"
Bibb County,Alabama,AL,"22,586"
Blount County,Alabama,AL,"57,494"
Bullock County,Alabama,AL,"10,389"
Butler County,Alabama,AL,"20,012"
Calhoun County,Alabama,AL,"114,973"
Chambers County,Alabama,AL,"33,745"
Cherokee County,Alabama,AL,"25,768"
Chilton County,Alabama,AL,"43,866"
Choctaw County,Alabama,AL,"13,045"
Clarke County,Alabama,AL,"24,340"
Clay County,Alabama,AL,"13,393"
Cleburne County,Alabama,AL,"14,848"
Coffee County,Alabama,AL,"51,202"
Colbert County,Alabama,AL,"54,497"
Conecuh County,Alabama,AL,"12,500"
Coosa County,Alabama,AL,"10,819"
Covington County,Alabama,AL,"37,382"
Crenshaw County,Alabama,AL,"13,916"
Cullman County,Alabama,AL,"82,450"
Dale County,Alabama,AL,"49,362"
Dallas County,Alabama,AL,"40,080"
DeKalb County,Alabama,AL,"71,104"
Elmore County,Alabama,AL,"81,204"
Escambia County,Alabama,AL,"37,475"
Etowah County,Alabama,AL,"102,855"
Fayette County,Alabama,AL,"16,563"
Franklin County,Alabama,AL,"31,611"
Geneva County,Alabama,AL,"26,494"
Greene County,Alabama,AL,"8,482"
Hale County,Alabama,AL,"14,828"
Henry County,Alabama,AL,"17,072"
Houston County,Alabama,AL,"104,218"
Jackson County,Alabama,AL,"51,988"
Jefferson County,Alabama,AL,"660,343"
Lamar County,Alabama,AL,"13,928"
Lauderdale County,Alabama,AL,"92,425"
Lawrence County,Alabama,AL,"33,227"
Lee County,Alabama,AL,"159,168"
Limestone County,Alabama,AL,"92,847"
Lowndes County,Alabama,AL,"10,248"
Macon County,Alabama,AL,"19,060"
Madison County,Alabama,AL,"356,729"
Marengo County,Alabama,AL,"19,525"
Marion County,Alabama,AL,"29,960"
Marshall County,Alabama,AL,"95,113"
Mobile County,Alabama,AL,"414,945"
Monroe County,Alabama,AL,"21,548"
Montgomery County,Alabama,AL,"227,170"
Morgan County,Alabama,AL,"119,006"
Perry County,Alabama,AL,"9,532"
Pickens County,Alabama,AL,"20,325"
Pike County,Alabama,AL,"33,464"
Randolph County,Alabama,AL,"22,504"
Russell County,Alabama,AL,"58,185"
St. Clair County,Alabama,AL,"87,306"
Shelby County,Alabama,AL,"211,282"
Sumter County,Alabama,AL,"12,967"
Talladega County,Alabama,AL,"80,552"
Tallapoosa County,Alabama,AL,"40,586"
Tuscaloosa County,Alabama,AL,"206,464"
Walker County,Alabama,AL,"64,533"
Washington County,Alabama,AL,"16,621"
Wilcox County,Alabama,AL,"10,844"
Winston County,Alabama,AL,"23,907"
Apache County,Arizona,AZ,"71,381"
Cochise County,Arizona,AZ,"125,686"
Coconino County,Arizona,AZ,"140,407"
Gila County,Arizona,AZ,"53,356"
Graham County,Arizona,AZ,"37,807"
Greenlee County,Arizona,AZ,"9,643"
La Paz County,Arizona,AZ,"20,648"
Maricopa County,Arizona,AZ,"4,256,143"
Mohave County,Arizona,AZ,"205,412"
Navajo County,Arizona,AZ,"108,467"
Pima County,Arizona,AZ,"1,016,707"
Pinal County,Arizona,AZ,"417,193"
Santa Cruz County,Arizona,AZ,"46,400"
Yavapai County,Arizona,AZ,"224,575"
Yuma County,Arizona,AZ,"207,247"
Arkansas County,Arkansas,AR,"18,154"
Ashley County,Arkansas,AR,"20,530"
Baxter County,Arkansas,AR,"41,131"
Benton County,Arkansas,AR,"259,212"
Boone County,Arkansas,AR,"37,259"
Bradley County,Arkansas,AR,"10,959"
Calhoun County,Arkansas,AR,"5,143"
Carroll County,Arkansas,AR,"27,728"
Chicot County,Arkansas,AR,"10,899"
Clark County,Arkansas,AR,"22,602"
Clay County,Arkansas,AR,"15,060"
Cleburne County,Arkansas,AR,"25,173"
Cleveland County,Arkansas,AR,"8,245"
Columbia County,Arkansas,AR,"24,026"
Conway County,Arkansas,AR,"20,874"
Craighead County,Arkansas,AR,"105,932"
Crawford County,Arkansas,AR,"62,263"
Crittenden County,Arkansas,AR,"49,306"
Cross County,Arkansas,AR,"17,025"
Dallas County,Arkansas,AR,"7,399"
Desha County,Arkansas,AR,"11,905"
Drew County,Arkansas,AR,"18,553"
Faulkner County,Arkansas,AR,"122,206"
Franklin County,Arkansas,AR,"17,655"
Fulton County,Arkansas,AR,"12,099"
Garland County,Arkansas,AR,"98,282"
Grant County,Arkansas,AR,"18,064"
Greene County,Arkansas,AR,"44,730"
Hempstead County,Arkansas,AR,"22,032"
Hot Spring County,Arkansas,AR,"33,438"
Howard County,Arkansas,AR,"13,350"
Independence County,Arkansas,AR,"37,117"
Izard County,Arkansas,AR,"13,488"
Jackson County,Arkansas,AR,"17,282"
Jefferson County,Arkansas,AR,"70,407"
Johnson County,Arkansas,AR,"26,127"
Lafayette County,Arkansas,AR,"6,888"
Lawrence County,Arkansas,AR,"16,639"
Lee County,Arkansas,AR,"9,337"
Lincoln County,Arkansas,AR,"13,728"
Little River County,Arkansas,AR,"12,406"
Logan County,Arkansas,AR,"21,732"
Lonoke County,Arkansas,AR,"71,803"
Madison County,Arkansas,AR,"16,112"
