Product Category,Units,Week Ending,Geography,Type,ASP
PLU 4225,562079.04,1/23/2022,California,Conventional,1.426292325
PLU 4770,163560.59,1/23/2022,California,Conventional,1.426292325
Bulk GTIN,2352146.18,1/23/2022,California,Conventional,1.426292325
Bagged,1315035.76,1/23/2022,California,Conventional,1.426292325
PLU 4046,1542076.29,1/23/2022,California,Conventional,1.426292325
PLU 4225,549155,1/16/2022,California,Conventional,1.412093977
PLU 4770,135207.19,1/16/2022,California,Conventional,1.412093977
Bulk GTIN,2069080.9,1/16/2022,California,Conventional,1.412093977
Bagged,1441219.87,1/16/2022,California,Conventional,1.412093977
PLU 4046,1714591.2,1/16/2022,California,Conventional,1.412093977
PLU 4225,691142.75,1/9/2022,California,Conventional,1.27570071
PLU 4770,165735.32,1/9/2022,California,Conventional,1.27570071
Bulk GTIN,2473958.37,1/9/2022,California,Conventional,1.27570071
Bagged,1454580.16,1/9/2022,California,Conventional,1.27570071
PLU 4046,1382604.52,1/9/2022,California,Conventional,1.27570071
PLU 4225,778296.63,1/2/2022,California,Conventional,1.204160742
PLU 4770,182941.17,1/2/2022,California,Conventional,1.204160742
Bulk GTIN,2710669.51,1/2/2022,California,Conventional,1.204160742
Bagged,1309717.65,1/2/2022,California,Conventional,1.204160742
PLU 4046,1328170.4,1/2/2022,California,Conventional,1.204160742
PLU 4225,503376.17,1/23/2022,Great Lakes,Conventional,1.205796938
PLU 4770,225913.18,1/23/2022,Great Lakes,Conventional,1.205796938
Bulk GTIN,1421621.83,1/23/2022,Great Lakes,Conventional,1.205796938
Bagged,836305.08,1/23/2022,Great Lakes,Conventional,1.205796938
PLU 4046,984900.78,1/23/2022,Great Lakes,Conventional,1.205796938
PLU 4225,429619.16,1/16/2022,Great Lakes,Conventional,1.133069484
PLU 4770,141170.87,1/16/2022,Great Lakes,Conventional,1.133069484
Bulk GTIN,1591713.09,1/16/2022,Great Lakes,Conventional,1.133069484
Bagged,995313.87,1/16/2022,Great Lakes,Conventional,1.133069484
PLU 4046,1064787.03,1/16/2022,Great Lakes,Conventional,1.133069484
PLU 4225,431599.49,1/9/2022,Great Lakes,Conventional,1.079471904
PLU 4770,146823.32,1/9/2022,Great Lakes,Conventional,1.079471904
Bulk GTIN,1518823.83,1/9/2022,Great Lakes,Conventional,1.079471904
Bagged,832116.95,1/9/2022,Great Lakes,Conventional,1.079471904
PLU 4046,1281752.61,1/9/2022,Great Lakes,Conventional,1.079471904
PLU 4225,735858.85,1/2/2022,Great Lakes,Conventional,0.940627899
PLU 4770,379234.2,1/2/2022,Great Lakes,Conventional,0.940627899
Bulk GTIN,1892116.25,1/2/2022,Great Lakes,Conventional,0.940627899
Bagged,789912.39,1/2/2022,Great Lakes,Conventional,0.940627899
PLU 4046,1106859.87,1/2/2022,Great Lakes,Conventional,0.940627899
PLU 4225,497566.39,1/23/2022,Midsouth,Conventional,1.303678822
PLU 4770,12687.55,1/23/2022,Midsouth,Conventional,1.303678822
Bulk GTIN,654938.1,1/23/2022,Midsouth,Conventional,1.303678822
Bagged,1250375.87,1/23/2022,Midsouth,Conventional,1.303678822
PLU 4046,1218808.03,1/23/2022,Midsouth,Conventional,1.303678822
PLU 4225,548332.81,1/16/2022,Midsouth,Conventional,1.224143835
PLU 4770,13407.59,1/16/2022,Midsouth,Conventional,1.224143835
Bulk GTIN,878862.78,1/16/2022,Midsouth,Conventional,1.224143835
Bagged,1446441.13,1/16/2022,Midsouth,Conventional,1.224143835
PLU 4046,1355900.48,1/16/2022,Midsouth,Conventional,1.224143835
PLU 4225,564971.17,1/9/2022,Midsouth,Conventional,1.108097461
PLU 4770,15280.6,1/9/2022,Midsouth,Conventional,1.108097461
Bulk GTIN,782191.93,1/9/2022,Midsouth,Conventional,1.108097461
Bagged,1375580.73,1/9/2022,Midsouth,Conventional,1.108097461
PLU 4046,1525541.35,1/9/2022,Midsouth,Conventional,1.108097461
PLU 4225,493264.92,1/2/2022,Midsouth,Conventional,1.096527159
PLU 4770,15253.58,1/2/2022,Midsouth,Conventional,1.096527159
Bulk GTIN,776839.74,1/2/2022,Midsouth,Conventional,1.096527159
Bagged,1416662.62,1/2/2022,Midsouth,Conventional,1.096527159
PLU 4046,1338382.5,1/2/2022,Midsouth,Conventional,1.096527159
PLU 4225,1896277.32,1/23/2022,Northeast,Conventional,1.41942692
PLU 4770,1201.6,1/23/2022,Northeast,Conventional,1.41942692
Bulk GTIN,404171.79,1/23/2022,Northeast,Conventional,1.41942692
Bagged,1717455.38,1/23/2022,Northeast,Conventional,1.41942692
PLU 4046,1205715.78,1/23/2022,Northeast,Conventional,1.41942692
PLU 4225,1947744.65,1/16/2022,Northeast,Conventional,1.348573984
PLU 4770,1440.3,1/16/2022,Northeast,Conventional,1.348573984
Bulk GTIN,526759.59,1/16/2022,Northeast,Conventional,1.348573984
Bagged,1767996.03,1/16/2022,Northeast,Conventional,1.348573984
PLU 4046,1649183.56,1/16/2022,Northeast,Conventional,1.348573984
PLU 4225,1970650.48,1/9/2022,Northeast,Conventional,1.372697887
PLU 4770,1465.21,1/9/2022,Northeast,Conventional,1.372697887
Bulk GTIN,408235.42,1/9/2022,Northeast,Conventional,1.372697887
Bagged,1706592.15,1/9/2022,Northeast,Conventional,1.372697887
PLU 4046,1246494.22,1/9/2022,Northeast,Conventional,1.372697887
PLU 4225,2038103.74,1/2/2022,Northeast,Conventional,1.256217667
PLU 4770,1229.91,1/2/2022,Northeast,Conventional,1.256217667
Bulk GTIN,371915.3,1/2/2022,Northeast,Conventional,1.256217667
Bagged,1365776.24,1/2/2022,Northeast,Conventional,1.256217667
PLU 4046,1620128.78,1/2/2022,Northeast,Conventional,1.256217667
PLU 4225,324800.64,1/23/2022,Plains,Conventional,1.284293231
PLU 4770,1787.62,1/23/2022,Plains,Conventional,1.284293231
Bulk GTIN,362634.77,1/23/2022,Plains,Conventional,1.284293231
Bagged,543673.69,1/23/2022,Plains,Conventional,1.284293231
PLU 4046,578016.69,1/23/2022,Plains,Conventional,1.284293231
PLU 4225,354942.25,1/16/2022,Plains,Conventional,1.264119091
PLU 4770,2134.31,1/16/2022,Plains,Conventional,1.264119091
Bulk GTIN,362465.58,1/16/2022,Plains,Conventional,1.264119091
Bagged,631216.24,1/16/2022,Plains,Conventional,1.264119091
PLU 4046,536119.93,1/16/2022,Plains,Conventional,1.264119091
PLU 4225,351139.7,1/9/2022,Plains,Conventional,1.213142197
PLU 4770,1579.52,1/9/2022,Plains,Conventional,1.213142197
Bulk GTIN,336245.36,1/9/2022,Plains,Conventional,1.213142197
Bagged,534220.84,1/9/2022,Plains,Conventional,1.213142197
PLU 4046,503548.96,1/9/2022,Plains,Conventional,1.213142197
PLU 4225,566324.98,1/2/2022,Plains,Conventional,1.018229638
PLU 4770,2116.42,1/2/2022,Plains,Conventional,1.018229638
Bulk GTIN,319311.93,1/2/2022,Plains,Conventional,1.018229638
Bagged,521507.32,1/2/2022,Plains,Conventional,1.018229638
PLU 4046,541724.69,1/2/2022,Plains,Conventional,1.018229638
PLU 4225,548357.67,1/23/2022,South Central,Conventional,1.07483289
PLU 4770,68143,1/23/2022,South Central,Conventional,1.07483289
Bulk GTIN,1081186.8,1/23/2022,South Central,Conventional,1.07483289
Bagged,1535516.81,1/23/2022,South Central,Conventional,1.07483289
PLU 4046,1653500.37,1/23/2022,South Central,Conventional,1.07483289
PLU 4225,493543.36,1/16/2022,South Central,Conventional,1.06718596
PLU 4770,70219.49,1/16/2022,South Central,Conventional,1.06718596
Bulk GTIN,1131299.92,1/16/2022,South Central,Conventional,1.06718596
Bagged,1673659.66,1/16/2022,South Central,Conventional,1.06718596
PLU 4046,1723805.65,1/16/2022,South Central,Conventional,1.06718596
PLU 4225,646062.65,1/9/2022,South Central,Conventional,0.996252109
PLU 4770,67758.49,1/9/2022,South Central,Conventional,0.996252109
Bulk GTIN,1061733.29,1/9/2022,South Central,Conventional,0.996252109
Bagged,1485922.69,1/9/2022,South Central,Conventional,0.996252109
PLU 4046,1533911.44,1/9/2022,South Central,Conventional,0.996252109
PLU 4225,670286.62,1/2/2022,South Central,Conventional,0.859506893
PLU 4770,68721.06,1/2/2022,South Central,Conventional,0.859506893
Bulk GTIN,982556.57,1/2/2022,South Central,Conventional,0.859506893
Bagged,1928229.46,1/2/2022,South Central,Conventional,0.859506893
PLU 4046,1656356.87,1/2/2022,South Central,Conventional,0.859506893
PLU 4225,169445.85,1/23/2022,Southeast,Conventional,1.266365524
PLU 4770,2952.37,1/23/2022,Southeast,Conventional,1.266365524
Bulk GTIN,1199190.39,1/23/2022,Southeast,Conventional,1.266365524
Bagged,1236302.28,1/23/2022,Southeast,Conventional,1.266365524
PLU 4046,2044222.15,1/23/2022,Southeast,Conventional,1.266365524
