STATE,Total,Republican,Democrat,Other,Column,Row
AK,3,3,,,1,0
AL,9,9,,,7.5,6
AR,6,6,,,6,5
AZ,11,11,,,3,5
CA,55,,55,,2,5
CO,9,,9,,3.5,4
CT,7,,7,,11,3
DC,3,,3,,11.5,5
DE,3,,3,,9.5,4
FL,29,29,,,8.5,8
GA,16,16,,,8,7
HI,4,,3,1,1,8
IA,6,6,,,5,3
ID,4,4,,,2,3
IL,20,,20,,6,3
IN,11,11,,,7,3
KS,6,6,,,5,5
KY,8,8,,,6.5,4
LA,8,8,,,5.5,6
MA,11,,11,,10.5,2
MD,10,,10,,8.5,4
ME,4,1,3,,11.5,0
MI,16,16,,,7.5,2
MN,10,,10,,4.5,2
MO,10,10,,,5.5,4
MS,6,6,,,6.5,6
MT,3,3,,,2.5,2
NC,15,15,,,9,5
ND,3,3,,,3.5,2
NE,5,5,,,4.5,4
NH,4,,4,,11,1
NJ,14,,14,,10,3
NM,5,,5,,3.5,6
NV,6,,6,,2.5,4
NY,29,,29,,9.5,2
OH,18,18,,,8,3
OK,7,7,,,4.5,6
OR,7,,7,,1.5,4
PA,20,20,,,9,3
RI,4,,4,,11.5,2
SC,9,9,,,8.5,6
SD,3,3,,,4,3
TN,11,11,,,7,5
TX,38,36,,2,4,7
UT,6,6,,,4,5
VA,13,,13,,8,5
VT,3,,3,,10,1
WA,12,,8,4,1.5,2
WI,10,10,,,5.5,2
WV,5,5,,,7.5,4
WY,3,3,,,3,3
