Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units","Bulk GTIN"
Albany,Weekly,"2021-01-04 00:00:00",Conventional,1.237368120,161850.33,7225.73,130204.01,76.41,19476.68,,,,4867.50
Atlanta,Weekly,"2021-01-04 00:00:00",Conventional,0.816395018,780570.69,308199.17,45153.36,80.81,171244.48,,,,255892.88
Baltimore/Washington,Weekly,"2021-01-04 00:00:00",Conventional,1.039409638,1006837.64,220482.26,282498.61,3749.76,413855.38,,,,86251.63
Birmingham/Montgomery,Weekly,"2021-01-04 00:00:00",Conventional,0.731857476,348845.24,177970.28,12901.64,10.01,93996.81,,,,63966.51
Boise,Weekly,"2021-01-04 00:00:00",Conventional,0.874297582,152240.40,39164.12,15398.73,1232.75,29772.49,,,,66672.30
Boston,Weekly,"2021-01-04 00:00:00",Conventional,1.273201647,623044.67,14642.26,372121.22,181.13,154109.93,,,,81990.13
Buffalo/Rochester,Weekly,"2021-01-04 00:00:00",Conventional,1.012272650,201302.12,30482.25,60773.43,1802.31,104365.56,,,,3878.57
Charlotte,Weekly,"2021-01-04 00:00:00",Conventional,0.952500045,402939.91,152157.48,50128.38,4101.09,168420.19,,,,28132.77
Chicago,Weekly,"2021-01-04 00:00:00",Conventional,1.098823045,925862.64,104614.48,174551.01,38351.80,250084.67,,,,358260.68
Cincinnati/Dayton,Weekly,"2021-01-04 00:00:00",Conventional,0.793308154,349949.49,54812.11,67640.42,4372.69,29919.11,,,,193205.15
Columbus,Weekly,"2021-01-04 00:00:00",Conventional,0.795260730,297508.88,50051.11,55321.61,558.70,37631.57,,,,153945.89
"Dallas/Ft. Worth",Weekly,"2021-01-04 00:00:00",Conventional,0.647222675,1613422.02,506303.66,270772.43,24499.53,434926.55,,,,376919.85
Denver,Weekly,"2021-01-04 00:00:00",Conventional,0.850325006,1168996.22,203293.93,140360.77,2664.79,235530.22,,,,587146.51
Detroit,Weekly,"2021-01-04 00:00:00",Conventional,0.801523405,591668.29,80626.67,98002.93,106996.38,93035.47,,,,213006.84
"Grand Rapids",Weekly,"2021-01-04 00:00:00",Conventional,0.877533711,279386.29,20937.01,81616.42,112569.31,40844.97,,,,23418.58
