"Week","Year","Status","Total Volume","California","Chile","Mexico","Peru","Colombia","Dominican Republic"
"Jan 10, 2021","2021","Actual","65,479,250","0","0","65,379,249","0","100,000","0"
"Jan 17, 2021","2021","Actual","78,395,979","0","0","78,245,979","0","150,000","0"
"Jan 24, 2021","2021","Actual","73,878,325","396,135","0","73,432,189","0","50,000","0"
"Jan 31, 2021","2021","Actual","60,797,387","233,880","0","60,563,507","0","0","0"
"Feb 7, 2021","2021","Actual","43,169,707","223,290","0","42,946,416","0","0","0"
"Feb 14, 2021","2021","Actual","54,404,321","522,465","0","53,881,855","0","0","0"
"Feb 21, 2021","2021","Actual","58,759,609","1,475,955","0","57,243,653","0","40,000","0"
"Feb 28, 2021","2021","Actual","61,732,359","3,433,895","0","58,258,464","0","40,000","0"
"Mar 7, 2021","2021","Actual","57,772,580","3,661,999","0","54,070,581","0","40,000","0"
"Mar 14, 2021","2021","Actual","61,007,381","2,700,390","0","58,266,990","0","40,000","0"
"Mar 21, 2021","2021","Actual","59,421,985","4,830,498","0","54,591,486","0","0","0"
"Mar 28, 2021","2021","Actual","64,465,083","7,784,857","0","56,680,226","0","0","0"
"Apr 4, 2021","2021","Actual","38,314,144","9,109,148","0","29,204,995","0","0","0"
"Apr 11, 2021","2021","Actual","56,178,007","10,002,708","0","46,087,890","47,407","40,000","0"
"Apr 18, 2021","2021","Actual","69,888,967","12,628,728","0","57,021,421","238,817","0","0"
"Apr 25, 2021","2021","Actual","63,507,169","12,074,580","0","51,241,179","191,409","0","0"
"May 2, 2021","2021","Actual","54,875,519","11,559,832","0","43,227,685","48,001","40,000","0"
"May 9, 2021","2021","Actual","55,710,038","11,622,413","0","43,474,243","573,381","40,000","0"
"May 16, 2021","2021","Actual","59,024,734","11,685,439","0","46,917,660","381,634","40,000","0"
"May 23, 2021","2021","Actual","65,731,567","11,540,675","0","51,916,784","2,274,107","0","0"
"May 30, 2021","2021","Actual","48,698,202","12,370,408","0","31,356,892","4,880,901","90,000","0"
"Jun 6, 2021","2021","Actual","46,206,955","8,261,165","0","32,749,871","5,195,918","0","0"
"Jun 13, 2021","2021","Actual","72,677,006","11,341,935","0","50,707,969","10,537,101","90,000","0"
"Jun 20, 2021","2021","Actual","60,416,505","9,574,143","0","43,331,450","7,470,911","40,000","0"
"Jun 27, 2021","2021","Actual","60,951,584","8,769,412","0","36,204,808","15,597,364","380,000","0"
"Jul 4, 2021","2021","Actual","57,016,931","8,414,555","0","35,336,506","13,075,869","190,000","0"
"Jul 11, 2021","2021","Actual","56,773,376","6,562,671","0","34,972,803","14,957,902","280,000","0"
"Jul 18, 2021","2021","Actual","57,733,847","9,577,026","0","34,379,303","13,397,517","380,000","0"
"Jul 25, 2021","2021","Actual","62,892,468","10,743,816","0","37,926,804","13,781,847","440,000","0"
"Aug 1, 2021","2021","Actual","54,454,784","10,161,399","0","31,293,918","12,699,467","300,000","0"
"Aug 8, 2021","2021","Actual","44,486,811","8,887,819","0","22,079,416","12,989,575","530,000","0"
"Aug 15, 2021","2021","Actual","51,183,436","7,362,548","0","32,043,974","11,730,913","46,000","0"
"Aug 22, 2021","2021","Actual","51,182,028","6,876,017","0","33,313,943","10,702,067","290,000","0"
"Aug 29, 2021","2021","Actual","47,259,057","6,384,817","0","31,653,012","8,921,227","300,000","0"
"Sep 5, 2021","2021","Actual","40,241,418","4,827,598","0","28,311,210","6,952,609","150,000","0"
"Sep 12, 2021","2021","Actual","42,453,646","2,474,852","0","33,601,991","5,996,803","380,000","0"
"Sep 19, 2021","2021","Actual","47,620,760","2,066,686","0","37,584,023","7,650,050","320,000","0"
"Sep 26, 2021","2021","Actual","63,218,153","1,363,247","45,000","56,102,858","5,517,046","190,000","0"
"Oct 3, 2021","2021","Actual","49,412,451","75,188","50,000","46,242,779","2,894,483","150,000","0"
"Oct 10, 2021","2021","Actual","38,108,665","0","560,000","36,302,306","1,106,358","140,000","0"
"Oct 17, 2021","2021","Actual","47,338,609","0","610,000","46,728,608","0","0","0"
"Oct 24, 2021","2021","Actual","58,631,906","0","290,000","58,341,905","0","0","0"
"Oct 31, 2021","2021","Actual","45,992,783","0","1,880,000","44,112,783","0","0","0"
"Nov 7, 2021","2021","Actual","50,652,973","0","1,160,000","49,492,973","0","0","0"
"Nov 14, 2021","2021","Actual","57,957,018","0","300,000","57,657,017","0","0","0"
"Nov 21, 2021","2021","Actual","45,445,269","6,545","1,190,000","44,248,724","0","0","0"
"Nov 28, 2021","2021","Actual","41,201,304","0","150,000","41,051,304","0","0","0"
"Dec 5, 2021","2021","Actual","45,061,799","0","1,250,000","43,711,799","0","100,000","0"
"Dec 12, 2021","2021","Actual","47,337,624","0","0","46,847,623","0","490,000","0"
"Dec 19, 2021","2021","Actual","51,599,854","0","1,080,000","50,229,854","0","290,000","0"
"Dec 26, 2021","2021","Actual","43,522,453","4,600","0","43,427,852","0","90,000","0"
"Jan 2, 2022","2021","Actual","44,868,865","0","140,000","44,028,865","0","340,000","360,000"
