Index,PartNumber,PartTitle,ChapterNumber,ChapterTitle,PartChapter,SectionNumber,SectionTitle,SubsectionNumber,SubsectionTitle,SubsubsectionNumber,SubsubsectionTitle,Words
1,1,Getting started,0,Part opener,1.0,0,,0,,0,,
2,1,Getting started,1,"Hello, Data Viz!",1.1,0,,0,,0,,303
3,1,Getting started,1,"Hello, Data Viz!",1.1,1,What is data visualization?,0,,0,,289
4,1,Getting started,1,"Hello, Data Viz!",1.1,2,What can you expect from this book?,0,,0,,392
5,1,Getting started,1,"Hello, Data Viz!",1.1,3,Data storytelling: Know your audience,0,,0,,481
6,1,Getting started,1,"Hello, Data Viz!",1.1,4,Some examples of data viz throughout time,0,,0,,58
7,1,Getting started,1,"Hello, Data Viz!",1.1,4,Some examples of data viz throughout time,1,Data viz in prehistory,0,,351
8,1,Getting started,1,"Hello, Data Viz!",1.1,4,Some examples of data viz throughout time,2,Maps,0,,164
9,1,Getting started,1,"Hello, Data Viz!",1.1,4,Some examples of data viz throughout time,3,The early modern era,0,,164
10,1,Getting started,1,"Hello, Data Viz!",1.1,4,Some examples of data viz throughout time,4,Florence Nightingale,0,,272
11,1,Getting started,1,"Hello, Data Viz!",1.1,4,Some examples of data viz throughout time,5,The later modern era,0,,154
12,1,Getting started,1,"Hello, Data Viz!",1.1,5,Data viz tools,0,,0,,362
13,1,Getting started,1,"Hello, Data Viz!",1.1,5,Data viz tools,1,Spreadsheets,0,,195
14,1,Getting started,1,"Hello, Data Viz!",1.1,5,Data viz tools,2,Business Intelligence (BI) tools,0,,367
15,1,Getting started,1,"Hello, Data Viz!",1.1,5,Data viz tools,3,Code,0,,264
16,1,Getting started,1,"Hello, Data Viz!",1.1,5,Data viz tools,3,Code,1,Front-end web libraries,399
17,1,Getting started,1,"Hello, Data Viz!",1.1,5,Data viz tools,3,Code,2,Statistical packages,430
18,1,Getting started,1,"Hello, Data Viz!",1.1,5,Data viz tools,4,Design software,,,895
19,1,Getting started,2,How we perceive information,1.2,0,,0,,0,,158
20,1,Getting started,2,How we perceive information,1.2,1,Preattentive attributes,0,,0,,61
21,1,Getting started,2,How we perceive information,1.2,1,Preattentive attributes,1,Color,0,,538
22,1,Getting started,2,How we perceive information,1.2,1,Preattentive attributes,2,Form,0,,352
23,1,Getting started,2,How we perceive information,1.2,1,Preattentive attributes,3,Spatial positioning,0,,440
24,1,Getting started,2,How we perceive information,1.2,1,Preattentive attributes,4,Movement,0,,594
25,1,Getting started,2,How we perceive information,1.2,2,Gestalt principles,0,,0,,180
26,1,Getting started,2,How we perceive information,1.2,2,Gestalt principles,1,Enclosure,0,,174
27,1,Getting started,2,How we perceive information,1.2,2,Gestalt principles,2,Proximity,0,,197
28,1,Getting started,2,How we perceive information,1.2,2,Gestalt principles,3,Similarity,0,,151
29,1,Getting started,2,How we perceive information,1.2,2,Gestalt principles,4,Symmetry,0,,38
30,1,Getting started,2,How we perceive information,1.2,2,Gestalt principles,4,Symmetry,1,Reflection,93
31,1,Getting started,2,How we perceive information,1.2,2,Gestalt principles,4,Symmetry,2,Rotation,124
32,1,Getting started,2,How we perceive information,1.2,2,Gestalt principles,4,Symmetry,3,Translation,219
33,1,Getting started,2,How we perceive information,1.2,2,Gestalt principles,5,Figure/ground,0,,119
34,1,Getting started,2,How we perceive information,1.2,2,Gestalt principles,6,"The 3 C's: connection, closure, and continuity",0,,28
35,1,Getting started,2,How we perceive information,1.2,2,Gestalt principles,6,"The 3 C's: connection, closure, and continuity",1,Connection,129
36,1,Getting started,2,How we perceive information,1.2,2,Gestalt principles,6,"The 3 C's: connection, closure, and continuity",2,Closure,204
37,1,Getting started,2,How we perceive information,1.2,2,Gestalt principles,6,"The 3 C's: connection, closure, and continuity",3,Continuity,258
38,1,Getting started,3,It's all about the data,1.3,0,,0,,0,,150
39,1,Getting started,3,It's all about the data,1.3,1,Where you get data,0,,0,,137
40,1,Getting started,3,It's all about the data,1.3,1,Where you get data,1,Find some open data,0,,369
41,1,Getting started,3,It's all about the data,1.3,1,Where you get data,2,Buy it,0,,176
42,1,Getting started,3,It's all about the data,1.3,1,Where you get data,3,Gather it yourself,0,,351
43,1,Getting started,3,It's all about the data,1.3,2,Dimensions and measures,0,,0,,385
44,1,Getting started,3,It's all about the data,1.3,3,A primer of data types,0,,0,,59
45,1,Getting started,3,It's all about the data,1.3,3,A primer of data types,1,Strings,0,,181
46,1,Getting started,3,It's all about the data,1.3,3,A primer of data types,2,Numbers,0,,191
47,1,Getting started,3,It's all about the data,1.3,3,A primer of data types,3,Dates,0,,202
48,1,Getting started,3,It's all about the data,1.3,3,A primer of data types,4,Booleans,0,,274
49,1,Getting started,3,It's all about the data,1.3,4,Describing data values,0,,0,,69
50,1,Getting started,3,It's all about the data,1.3,4,Describing data values,1,Discrete vs continuous,0,,602
51,1,Getting started,3,It's all about the data,1.3,4,Describing data values,2,Sequential vs categorical,0,,656
52,1,Getting started,3,It's all about the data,1.3,5,Data structures,0,,0,,36
53,1,Getting started,3,It's all about the data,1.3,5,Data structures,1,Tabular data,0,,956
54,1,Getting started,3,It's all about the data,1.3,5,Data structures,2,Nested data,0,,164
55,1,Getting started,3,It's all about the data,1.3,5,Data structures,2,Nested data,1,Arrays,204
56,1,Getting started,3,It's all about the data,1.3,5,Data structures,2,Nested data,2,Objects,808
57,2,Designing with (and for) data,0,Part opener,2.0,0,,0,,0,,
58,2,Designing with (and for) data,4,Choosing colors,2.4,0,,0,,0,,285
59,2,Designing with (and for) data,4,Choosing colors,2.4,1,A little (or maybe big) bit of color theory,0,,0,,262
60,2,Designing with (and for) data,4,Choosing colors,2.4,1,A little (or maybe big) bit of color theory,1,The additive model of color,0,,1026
61,2,Designing with (and for) data,4,Choosing colors,2.4,1,A little (or maybe big) bit of color theory,2,The primary colors of light,0,,328
62,2,Designing with (and for) data,4,Choosing colors,2.4,1,A little (or maybe big) bit of color theory,3,The subtractive model of color,0,,465
63,2,Designing with (and for) data,4,Choosing colors,2.4,1,A little (or maybe big) bit of color theory,4,Color vision deficiency,0,,726
64,2,Designing with (and for) data,4,Choosing colors,2.4,2,A few color spaces,0,Vocabulary,0,,492
65,2,Designing with (and for) data,4,Choosing colors,2.4,2,A few color spaces,1,RGB space,0,,641
66,2,Designing with (and for) data,4,Choosing colors,2.4,2,A few color spaces,2,HSB or HSV space,0,,664
67,2,Designing with (and for) data,4,Choosing colors,2.4,2,A few color spaces,3,HSL space,0,,281
68,2,Designing with (and for) data,4,Choosing colors,2.4,2,A few color spaces,4,The CIELAB or L*a*b* color space,0,,492
69,2,Designing with (and for) data,4,Choosing colors,2.4,3,Different kinds of color palettes and how to make them,0,,0,,215
